2714.37572, 3,   0.053, -0.022, 12.014, 4,   0.005,  0.015,  0.019, 5,   6.480,-14.700, -1.740
2714.37772, 3,   0.053, -0.022, 12.014, 4,   0.009,  0.021,  0.019, 5,   6.240,-14.520, -1.860
2714.37972, 3,   0.053, -0.022, 12.014, 4,   0.012,  0.007,  0.017
2714.38172, 3,   0.053, -0.022, 12.014
2714.38377, 3,   0.175,  1.116,  9.601, 4,   0.009, -0.007,  0.019
2714.38577, 3,   0.184,  1.144,  9.560, 4,   0.000, -0.012,  0.018
2714.38778, 3,   0.220,  1.099,  9.395, 4,  -0.002, -0.009,  0.019
2714.38978, 3,   0.254,  1.087,  9.414, 4,  -0.001, -0.002,  0.021, 5,   6.000,-14.700, -2.160
2714.39178, 3,   0.215,  1.070,  9.474, 4,   0.004,  0.018,  0.020
2714.39378, 3,   0.151,  1.006,  9.702, 4,   0.004,  0.005,  0.019
2714.39578, 3,   0.151,  0.984,  9.778, 4,   0.003, -0.003,  0.021
2714.39779, 3,   0.089,  0.917,  9.726, 4,  -0.007, -0.019,  0.019, 5,   6.060,-14.700, -2.160
2714.39979, 3,   0.105,  0.895,  9.692, 4,  -0.011, -0.012,  0.022
2714.40179, 3,   0.091,  0.898,  9.637
2714.40379, 3,   0.060,  0.919,  9.623, 4,   0.000,  0.013,  0.020
2714.40579, 3,  -0.005,  0.996,  9.682, 4,   0.006,  0.014,  0.022
2714.40779, 3,   0.031,  1.065,  9.740
2714.40979, 3,   0.024,  1.092,  9.752, 4,  -0.001, -0.005,  0.025, 5,   6.540,-14.820, -2.100
2714.41180, 3,   0.069,  1.109,  9.704, 4,  -0.002, -0.014,  0.027
2714.41381, 3,   0.110,  1.121,  9.589
2714.41581, 3,   0.213,  1.176,  9.390, 4,  -0.002, -0.010,  0.027
2714.41781, 3,   0.273,  1.219,  9.419, 4,  -0.003, -0.006,  0.025
2714.41981, 3,   0.280,  1.250,  9.539, 4,  -0.001,  0.006,  0.028, 5,   6.540,-15.480, -1.920
2714.42181, 3,   0.311,  1.279,  9.761, 4,   0.001,  0.005,  0.027
2714.42381, 3,   0.285,  1.312,  9.656, 4,   0.001, -0.007,  0.030
2714.42581, 3,   0.266,  1.319,  9.575, 4,  -0.005, -0.009,  0.031
2714.42781, 3,   0.256,  1.267,  9.726, 4,  -0.010, -0.005,  0.032
2714.42982, 3,   0.249,  1.267,  9.824, 4,  -0.012,  0.003,  0.034, 5,   6.660,-15.420, -1.560
2714.43182, 3,   0.247,  1.269,  9.912, 4,  -0.010,  0.005,  0.036
2714.43382, 3,   0.201,  1.312, 10.099, 4,  -0.002,  0.010,  0.038
2714.43582, 3,   0.141,  1.331, 10.228, 4,   0.009,  0.007,  0.036
2714.43782, 3,   0.093,  1.295, 10.037, 4,   0.008,  0.001,  0.038
2714.43982, 3,   0.096,  1.276,  9.951, 4,   0.006, -0.014,  0.036, 5,   6.540,-15.840, -1.440
2714.44182, 3,   0.098,  1.283,  9.805, 4,   0.002, -0.000,  0.036
2714.44382, 3,   0.041,  1.291,  9.697, 4,   0.009,  0.006,  0.035
2714.44582, 3,  -0.024,  1.293,  9.441, 4,   0.010, -0.000,  0.038
2714.44782, 3,   0.105,  1.291,  9.319, 4,   0.012, -0.003,  0.036
2714.44982, 3,   0.158,  1.307,  9.240, 4,   0.012, -0.006,  0.038, 5,   6.360,-15.960, -1.860
2714.45182, 3,   0.160,  1.317,  9.081, 4,   0.014, -0.008,  0.035
2714.45382, 3,   0.156,  1.350,  9.153, 4,   0.006,  0.003,  0.038
2714.45583, 3,   0.160,  1.355,  9.299, 4,  -0.003,  0.010,  0.036
2714.45783, 3,   0.285,  1.367,  9.596, 4,  -0.010,  0.001,  0.038
2714.45983, 3,   0.256,  1.386,  9.699, 4,  -0.012, -0.006,  0.038, 5,   6.720,-15.360, -1.500
2714.46184, 3,   0.256,  1.413,  9.730, 4,  -0.004, -0.008,  0.038
2714.46384, 3,   0.247,  1.446,  9.726
2714.46584, 3,   0.280,  1.437,  9.788, 4,  -0.008,  0.005,  0.041
2714.46784, 3,   0.105,  1.475, 10.092, 4,  -0.010,  0.008,  0.039
