559251.28579, 3,   0.175,  0.096,  9.675
559251.28778, 3,   0.165,  0.091,  9.666
559251.28984, 3,   0.182,  0.086,  9.663
559251.29184, 3,   0.182,  0.086,  9.663
559251.29383, 3,   0.182,  0.086,  9.663
559251.29583, 3,   0.182,  0.086,  9.663
559251.29783, 3,   0.182,  0.086,  9.663
559251.29985, 3,   0.168,  0.091,  9.714
559251.30185, 3,   0.165,  0.074,  9.699
559251.30385, 3,   0.165,  0.060,  9.682
559251.30584, 3,   0.151,  0.062,  9.692
559251.30784, 3,   0.136,  0.062,  9.680
559251.30984, 3,   0.146,  0.067,  9.663
559251.31184, 3,   0.160,  0.055,  9.644
559251.31384, 3,   0.160,  0.048,  9.654
559251.31584, 3,   0.168,  0.050,  9.649
559251.31785, 3,   0.160,  0.060,  9.661
559251.31985, 3,   0.151,  0.055,  9.680
559251.32185, 3,   0.144,  0.055,  9.692
559251.32385, 3,   0.151,  0.060,  9.690
559251.32585, 3,   0.146,  0.053,  9.690
559251.32785, 3,   0.141,  0.045,  9.680
559251.32985, 3,   0.134,  0.050,  9.680
559251.33185, 3,   0.156,  0.048,  9.678
559251.33386, 3,   0.160,  0.048,  9.682
559251.33586, 3,   0.163,  0.057,  9.685
559251.33786, 3,   0.160,  0.041,  9.678
559251.33986, 3,   0.160,  0.041,  9.668
559251.34186, 3,   0.153,  0.029,  9.644
559251.34386, 3,   0.153,  0.050,  9.656
559251.34586, 3,   0.163,  0.050,  9.663
559251.34786, 3,   0.156,  0.050,  9.682
559251.34986, 3,   0.151,  0.062,  9.694
559251.35186, 3,   0.175,  0.089,  9.678
559251.35386, 3,   0.175,  0.089,  9.673
559251.35586, 3,   0.175,  0.089,  9.673
559251.35786, 3,   0.160,  0.079,  9.663
559251.35986, 3,   0.148,  0.065,  9.661
559251.36186, 3,   0.146,  0.067,  9.659
559251.36386, 3,   0.146,  0.081,  9.675
559251.36586, 3,   0.153,  0.072,  9.668
559251.36787, 3,   0.156,  0.072,  9.661
559251.36987, 3,   0.144,  0.069,  9.663
559251.37187, 3,   0.156,  0.065,  9.666
559251.37387, 3,   0.163,  0.072,  9.663
559251.37588, 3,   0.165,  0.074,  9.659
559251.37787, 3,   0.144,  0.069,  9.663
559251.37987, 3,   0.144,  0.057,  9.663
559251.38188, 3,   0.160,  0.048,  9.659
559251.38388, 3,   0.168,  0.060,  9.663
559251.38588, 3,   0.165,  0.057,  9.666
559251.38788, 3,   0.158,  0.062,  9.670
559251.38988, 3,   0.156,  0.062,  9.663
559251.39188, 3,   0.148,  0.055,  9.666
559251.39388, 3,   0.168,  0.045,  9.651
559251.39589, 3,   0.156,  0.057,  9.649
559251.39789, 3,   0.146,  0.062,  9.639
559251.39989, 3,   0.134,  0.041,  9.642
559251.40189, 3,   0.136,  0.043,  9.651
559251.40389, 3,   0.144,  0.045,  9.680
559251.40589, 3,   0.158,  0.045,  9.682
559251.40790, 3,   0.170,  0.053,  9.675
559251.40990, 3,   0.158,  0.055,  9.668
559251.41190, 3,   0.151,  0.060,  9.661
559251.41390, 3,   0.168,  0.053,  9.656
559251.41590, 3,   0.172,  0.048,  9.654
559251.41790, 3,   0.170,  0.060,  9.647
559251.41991, 3,   0.165,  0.065,  9.639
559251.42191, 3,   0.151,  0.057,  9.639
559251.42391, 3,   0.139,  0.074,  9.639
559251.42591, 3,   0.134,  0.074,  9.644
559251.42791, 3,   0.148,  0.077,  9.666
559251.42991, 3,   0.156,  0.084,  9.666
559251.43191, 3,   0.160,  0.093,  9.668
559251.43391, 3,   0.163,  0.089,  9.639
559251.43591, 3,   0.156,  0.089,  9.649
559251.43791, 3,   0.158,  0.077,  9.651
559251.43992, 3,   0.146,  0.067,  9.661
559251.44192, 3,   0.156,  0.074,  9.666
559251.44392, 3,   0.168,  0.098,  9.656
559251.44592, 3,   0.170,  0.096,  9.661
559251.44792, 3,   0.165,  0.091,  9.654
559251.44992, 3,   0.163,  0.079,  9.656
559251.45192, 3,   0.156,  0.072,  9.666
559251.45392, 3,   0.151,  0.084,  9.654, 5, 164.520,-101.580,-122.400
559251.45593, 3,   0.158,  0.081,  9.659
559251.45793, 3,   0.172,  0.086,  9.663
559251.45993, 3,   0.168,  0.081,  9.661
559251.46193, 3,   0.144,  0.084,  9.666
559251.46393, 3,   0.163,  0.086,  9.666
